yourlist:M20180720A7434721E10EE6586998A056CCD0537E950220G	isomap:M20180720A7434721E10EE6586998A056CCD0537E950220G	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPTS_0656		B2K487	RSMA_YERPB	reviewed	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA YPTS_0656	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191710.1;
YPTS_0657		B2K488	PDXA_YERPB	reviewed	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA YPTS_0657	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191711.1;
YPTS_0682		B2K4B3	RAPA_YERPB	reviewed	RNA polymerase-associated protein RapA (EC 3.6.4.-) (ATP-dependent helicase HepA)	rapA YPTS_0682	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191719.1;
YPTS_0695		B2K4C6	LEUD_YERPB	reviewed	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuD YPTS_0695	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210456.1;
YPTS_0696		B2K4C7	LEUC_YERPB	reviewed	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuC YPTS_0696	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191727.1;
YPTS_0698		B2K4C9	LEU1_YERPB	reviewed	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA YPTS_0698	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210453.1;
YPTS_0706		B2K4D7	MRAZ_YERPB	reviewed	Transcriptional regulator MraZ	mraZ YPTS_0706	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191730.1;
YPTS_0707		B2K4D8	RSMH_YERPB	reviewed	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW YPTS_0707	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210442.1;
YPTS_0715		B2K4E6	MURG_YERPB	reviewed	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG YPTS_0715	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191735.1;
YPTS_0717		B2K4E8	DDL_YERPB	reviewed	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	ddl YPTS_0717	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210432.1;
YPTS_0724		B2K4F5	SECA_YERPB	reviewed	Protein translocase subunit SecA	secA YPTS_0724	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210426.1;
YPTS_0728		B2K4F9	YACG_YERPB	reviewed	DNA gyrase inhibitor YacG	yacG YPTS_0728	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209317.1;
YPTS_0729		B2K4G0	ZAPD_YERPB	reviewed	Cell division protein ZapD (Z ring-associated protein D)	zapD YPTS_0729	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209318.1;
YPTS_0732		B2K4G3	GUAC_YERPB	reviewed	GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	guaC YPTS_0732	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209320.1;
YPTS_0747		B2K4H8	Y747_YERPB	reviewed	UPF0231 protein YPTS_0747	YPTS_0747	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209334.1;
YPTS_0750		B2K4I1	SPED_YERPB	reviewed	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	speD YPTS_0750	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209337.1;
YPTS_0751		B2K4I2	SPEE_YERPB	reviewed	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	speE YPTS_0751	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191746.1;
YPTS_0759		B2K532	PAND_YERPB	reviewed	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD YPTS_0759	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191751.1;
YPTS_0760		B2K533	PANC_YERPB	reviewed	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC YPTS_0760	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191752.1;
YPTS_0761		B2K534	PANB_YERPB	reviewed	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB YPTS_0761	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012304571.1;
YPTS_0774		B2K547	GSA_YERPB	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL YPTS_0774	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191761.1;
YPTS_0776		B2K549	CLCA_YERPB	reviewed	H(+)/Cl(-) exchange transporter ClcA	clcA eriC YPTS_0776	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191762.1;
YPTS_0777		B2K550	ERPA_YERPB	reviewed	Iron-sulfur cluster insertion protein ErpA	erpA YPTS_0777	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209365.1;
YPTS_0779		B2K552	BTUF_YERPB	reviewed	Vitamin B12-binding protein	btuF YPTS_0779	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191763.1;
YPTS_0780		B2K553	MTNN_YERPB	reviewed	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	mtnN YPTS_0780	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191764.1;
YPTS_0781		B2K554	DGTP_YERPB	reviewed	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)	dgt YPTS_0781	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191765.1;
YPTS_0787		B2K560	PYRG_YERPB	reviewed	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG YPTS_0787	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209376.1;
YPTS_0788		B2K561	ENO_YERPB	reviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno YPTS_0788	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191770.1;
YPTS_0793		B2K566	CYSI_YERPB	reviewed	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	cysI YPTS_0793	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191773.1;
YPTS_0794		B2K567	CYSH_YERPB	reviewed	Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)	cysH YPTS_0794	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191774.1;
YPTS_0803		B2K576	FTSB_YERPB	reviewed	Cell division protein FtsB	ftsB YPTS_0803	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209390.1;
YPTS_0804		B2K577	ISPD_YERPB	reviewed	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD YPTS_0804	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012105643.1;
YPTS_0805		B2K578	ISPF_YERPB	reviewed	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF YPTS_0805	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413489.1;
YPTS_0806		B2K579	TRUD_YERPB	reviewed	tRNA pseudouridine synthase D (EC 5.4.99.27) (tRNA pseudouridine(13) synthase) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D)	truD YPTS_0806	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413490.1;
YPTS_0807		B2K580	SURE_YERPB	reviewed	5'/3'-nucleotidase SurE (EC 3.1.3.5) (EC 3.1.3.6) (Exopolyphosphatase) (EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase)	surE YPTS_0807	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191778.1;
YPTS_0808		B2K581	PIMT_YERPB	reviewed	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	pcm YPTS_0808	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209395.1;
YPTS_0811		B2K584	MUTS_YERPB	reviewed	DNA mismatch repair protein MutS	mutS YPTS_0811	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191781.1;
YPTS_0846		B2K5B9	KATG_YERPB	reviewed	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG YPTS_0846	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209433.1;
YPTS_0859		B2K5X7	RECA_YERPB	reviewed	Protein RecA (Recombinase A)	recA YPTS_0859	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191806.1;
YPTS_0861		B2K5X9	SYA_YERPB	reviewed	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS YPTS_0861	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191808.1;
YPTS_0862		B2K5Y0	CSRA_YERPB	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA YPTS_0862	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209449.1;
YPTS_0866		B2K5Y4	LUXS_YERPB	reviewed	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	luxS YPTS_0866	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209453.1;
YPTS_0870		B2K5Y8	RS16_YERPB	reviewed	30S ribosomal protein S16	rpsP YPTS_0870	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209458.1;
YPTS_0871		B2K5Y9	RIMM_YERPB	reviewed	Ribosome maturation factor RimM	rimM YPTS_0871	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191812.1;
YPTS_0873		B2K5Z1	RL19_YERPB	reviewed	50S ribosomal protein L19	rplS YPTS_0873	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209461.1;
YPTS_0915		B2K630	MTNB_YERPB	reviewed	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)	mtnB YPTS_0915	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191831.1;
YPTS_0916		B2K631	MTNC_YERPB	reviewed	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase)	mtnC YPTS_0916	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191832.1;
YPTS_0917		B2K632	MTND_YERPB	reviewed	Acireductone dioxygenase (1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase) (DHK-MTPene dioxygenase) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	mtnD YPTS_0917	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191833.1;
YPTS_0918		B2K633	MTNA_YERPB	reviewed	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase)	mtnA YPTS_0918	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191834.1;
YPTS_0943		B2K658	XGPT_YERPB	reviewed	Xanthine phosphoribosyltransferase (EC 2.4.2.22) (Xanthine-guanine phosphoribosyltransferase) (XGPRT)	gpt YPTS_0943	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208704.1;
YPTS_0944		B2K659	Y944_YERPB	reviewed	UPF0255 protein YPTS_0944	YPTS_0944	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208703.1;
YPTS_0945		B2K6Q2	CRL_YERPB	reviewed	Sigma factor-binding protein Crl	crl YPTS_0945	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208702.1;
YPTS_0946		B2K6Q3	PROB_YERPB	reviewed	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB YPTS_0946	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208701.1;
YPTS_0947		B2K6Q4	PROA_YERPB	reviewed	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA YPTS_0947	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191846.1;
YPTS_0952		B2K6Q9	AROL_YERPB	reviewed	Shikimate kinase 2 (SK 2) (EC 2.7.1.71)	aroL YPTS_0952	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191851.1;
YPTS_0953		B2K6R0	PPNP_YERPB	reviewed	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (EC 2.4.2.15) (Inosine phosphorylase) (Thymidine phosphorylase) (EC 2.4.2.4) (Uridine phosphorylase) (EC 2.4.2.3) (Xanthosine phosphorylase)	ppnP YPTS_0953	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208692.1;
YPTS_0954		B2K6R1	RDGC_YERPB	reviewed	Recombination-associated protein RdgC	rdgC YPTS_0954	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208691.1;
YPTS_0968		B2K6S5	QUEA_YERPB	reviewed	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA YPTS_0968	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191859.1;
YPTS_0969		B2K6S6	TGT_YERPB	reviewed	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt YPTS_0969	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208672.1;
YPTS_0974		B2K6T1	NRDR_YERPB	reviewed	Transcriptional repressor NrdR	nrdR YPTS_0974	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208668.1;
YPTS_0976		B2K6T3	RISB_YERPB	reviewed	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH YPTS_0976	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208666.1;
YPTS_0977		B2K6T4	NUSB_YERPB	reviewed	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB YPTS_0977	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208665.1;
YPTS_0980		B2K6T7	DXS_YERPB	reviewed	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs YPTS_0980	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191862.1;
YPTS_0982		B2K6T9	EX7S_YERPB	reviewed	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	xseB YPTS_0982	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208660.1;
YPTS_0984		B2K6U1	THII_YERPB	reviewed	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI YPTS_0984	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191864.1;
YPTS_0987		B2K6U4	Y987_YERPB	reviewed	UPF0234 protein YPTS_0987	YPTS_0987	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208655.1;
YPTS_0999		B2K6V6	TIG_YERPB	reviewed	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig YPTS_0999	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208643.1;
YPTS_1001		B2K6V8	CLPX_YERPB	reviewed	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX YPTS_1001	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208641.1;
YPTS_1007		B2K6W4	QUEC_YERPB	reviewed	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC YPTS_1007	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208635.1;
YPTS_1024		B2K6Y1	RL31B_YERPB	reviewed	50S ribosomal protein L31 type B	rpmE2 YPTS_1024	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208617.1;
YPTS_1034		B2K6Z1	APT_YERPB	reviewed	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt YPTS_1034	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012105567.1;
YPTS_1036		B2K6Z3	Y1036_YERPB	reviewed	Nucleoid-associated protein YPTS_1036	YPTS_1036	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208604.1;
YPTS_1039		B2K6Z6	KAD_YERPB	reviewed	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk YPTS_1039	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208600.1;
YPTS_1040		B2K6Z7	HEMH_YERPB	reviewed	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	hemH YPTS_1040	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208599.1;
YPTS_1081		B2K7N0	LPXH_YERPB	reviewed	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase)	lpxH YPTS_1081	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208568.1;
YPTS_1083		B2K7N2	SYC_YERPB	reviewed	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS YPTS_1083	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191897.1;
YPTS_1085		B2K7N4	FOLD_YERPB	reviewed	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	folD YPTS_1085	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209774.1;
YPTS_1148		B2K874	LIPA_YERPB	reviewed	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA YPTS_1148	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210320.1;
YPTS_1150		B2K876	Y1150_YERPB	reviewed	UPF0250 protein YPTS_1150	YPTS_1150	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210322.1;
YPTS_1155		B2K881	RLMH_YERPB	reviewed	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	rlmH YPTS_1155	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210328.1;
YPTS_1157		B2K883	NADD_YERPB	reviewed	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD YPTS_1157	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210330.1;
YPTS_1159		B2K885	LPTE_YERPB	reviewed	LPS-assembly lipoprotein LptE	lptE rlpB YPTS_1159	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210332.1;
YPTS_1160		B2K886	SYL_YERPB	reviewed	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS YPTS_1160	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210333.1;
YPTS_1168		B2K894	YBEY_YERPB	reviewed	Endoribonuclease YbeY (EC 3.1.-.-)	ybeY YPTS_1168	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191934.1;
YPTS_1170		B2K896	MIAB_YERPB	reviewed	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB YPTS_1170	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191936.1;
YPTS_1177		B2K8A2	NAGB_YERPB	reviewed	Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)	nagB YPTS_1177	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210352.1;
YPTS_1179		B2K8A4	SYQ_YERPB	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	glnS YPTS_1179	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210354.1;
YPTS_1218		B2K8E3	GRPE_YERPB	reviewed	Protein GrpE (HSP-70 cofactor)	grpE YPTS_1218	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002224622.1;
YPTS_1226		B2K8F1	SUCC_YERPB	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC YPTS_1226	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210728.1;
YPTS_1236		B2K8G1	TOLB_YERPB	reviewed	Tol-Pal system protein TolB	tolB YPTS_1236	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210738.1;
YPTS_1239		B2K8Q8	NADA_YERPB	reviewed	Quinolinate synthase A (EC 2.5.1.72)	nadA YPTS_1239	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210741.1;
YPTS_1244		B2K8R3	GPMA_YERPB	reviewed	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA YPTS_1244	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210746.1;
YPTS_1247		B2K8R6	GAL1_YERPB	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	galK YPTS_1247	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191950.1;
YPTS_1259		B2K8S8	6PGL_YERPB	reviewed	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	pgl YPTS_1259	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191955.1;
YPTS_1266		B2K8T5	UVRB_YERPB	reviewed	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB YPTS_1266	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191959.1;
YPTS_1271		B2K8U0	MOAC_YERPB	reviewed	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	moaC YPTS_1271	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191960.1;
YPTS_1292		B2K8W1	Y1292_YERPB	reviewed	UPF0194 membrane protein YPTS_1292	YPTS_1292	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191973.1;
YPTS_1338		B2K9A0	ECOT_YERPB	reviewed	Ecotin	eco YPTS_1338	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210815.1;
YPTS_1342		B2K9A4	UBIG_YERPB	reviewed	Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)	ubiG YPTS_1342	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210820.1;
YPTS_1389		B2K9F0	Y1389_YERPB	reviewed	UPF0352 protein YPTS_1389	YPTS_1389	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208836.1;
YPTS_1390		B2K9F1	NDPA_YERPB	reviewed	Nucleoid-associated protein YPTS_1390	YPTS_1390	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192011.1;
YPTS_1391		B2K9F2	RL25_YERPB	reviewed	50S ribosomal protein L25	rplY YPTS_1391	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208834.1;
YPTS_1407		B2K9G8	UXUA_YERPB	reviewed	Mannonate dehydratase (EC 4.2.1.8) (D-mannonate hydro-lyase)	uxuA YPTS_1407	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192020.1;
YPTS_1408		B2K9G9	EFPL_YERPB	reviewed	Elongation factor P-like protein	YPTS_1408	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002228019.1;
YPTS_1432		B2K9J1	END4_YERPB	reviewed	Probable endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)	nfo YPTS_1432	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208791.1;
