yourlist:M20180720A7434721E10EE6586998A056CCD0537E950197S	isomap:M20180720A7434721E10EE6586998A056CCD0537E950197S	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPO0650		Q8ZI64	CCA_YERPE	reviewed	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]	cca YPO0650 y3529 YP_2965	Yersinia pestis	WP_002212197.1;YP_002345718.1;
YPO0651		Q7CGG7	Q7CGG7_YERPE	unreviewed	Putative exported protein	YPO0651	Yersinia pestis	WP_002212196.1;YP_002345719.1;
YPO0652		Q74RQ5	Q74RQ5_YERPE	unreviewed	Uncharacterized protein	YPO0652	Yersinia pestis	WP_002212195.1;YP_002345720.1;
YPO0653		Q8ZI61	GLNE_YERPE	reviewed	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]	glnE YPO0653 y3525 YP_2968	Yersinia pestis	WP_002212194.1;YP_002345721.1;
YPO0654		Q8ZI60	HLDE_YERPE	reviewed	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE rfaE waaE YPO0654 y3524 YP_2969	Yersinia pestis	WP_002212193.1;YP_002345722.1;
YPO0656		Q7CGG8	Q7CGG8_YERPE	unreviewed	Uncharacterized protein	YPO0656	Yersinia pestis	WP_002212191.1;YP_002345724.1;
YPO0658		Q8ZI56	RIBB_YERPE	reviewed	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	ribB YPO0658 y3520 YP_2973	Yersinia pestis	WP_002212190.1;YP_002345726.1;
YPO0660		Q7CGH0	Q7CGH0_YERPE	unreviewed	Uncharacterized protein	YPO0660	Yersinia pestis	WP_002212188.1;YP_002345728.1;
YPO0661		Q7CGH1	Y661_YERPE	reviewed	UPF0441 protein YPO0661/y3517/YP_2976	YPO0661 y3517 YP_2976	Yersinia pestis	YP_002345729.1;
YPO0663		Q7CGH2	Q7CGH2_YERPE	unreviewed	ABC-transporter outer membrane component	hasF YPO0663	Yersinia pestis	
YPO0664		Q7CGH3	Q7CGH3_YERPE	unreviewed	Putative MutT-family protein	YPO0664	Yersinia pestis	WP_002212184.1;YP_002345732.1;
YPO0666		Q74RP2	Q74RP2_YERPE	unreviewed	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA (3',5'-cyclic AMP phosphodiesterase) (cAMP phosphodiesterase) (EC 3.1.4.53)	icc cpdA YPO0666	Yersinia pestis	WP_002217438.1;YP_002345734.1;
YPO0667		Q7CGH5	Q7CGH5_YERPE	unreviewed	Uncharacterized protein	YPO0667	Yersinia pestis	WP_002226670.1;YP_002345735.1;
YPO0668		Q7CGH6	Q7CGH6_YERPE	unreviewed	DNA topoisomerase 4 subunit B (EC 5.99.1.3) (Topoisomerase IV subunit B)	nfxD parE YPO0668	Yersinia pestis	WP_002212181.1;YP_002345736.1;
YPO0670		Q7CGH8	Q7CGH8_YERPE	unreviewed	Putative modulator of drug activity	mda66 YPO0670	Yersinia pestis	WP_002212179.1;YP_002345738.1;
YPO0671		Q7CGH9	Q7CGH9_YERPE	unreviewed	DNA topoisomerase 4 subunit A (EC 5.99.1.3) (Topoisomerase IV subunit A)	parC YPO0671	Yersinia pestis	WP_002212178.1;YP_002345739.1;
YPO0672		Q74RN5	Q74RN5_YERPE	unreviewed	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	parF YPO0672	Yersinia pestis	WP_002212177.1;YP_002345740.1;
YPO0673		Q7CGI0	FTSP_YERPE	reviewed	Cell division protein FtsP	ftsP YPO0673 y3504 YP_2989	Yersinia pestis	WP_002212176.1;YP_002345741.1;
YPO0676		Q8ZI40	DKGA_YERPE	reviewed	2,5-diketo-D-gluconic acid reductase A (2,5-DKG reductase A) (2,5-DKGR A) (25DKGR-A) (EC 1.1.1.346) (AKR5C)	dkgA ara14 YPO0676 y3501 YP_2991	Yersinia pestis	WP_002212175.1;YP_002345742.1;
YPO0678		Q7CGI2	Q7CGI2_YERPE	unreviewed	Putative iron-containing alcohol dehydrogenase (EC 1.1.1.-)	YPO0678	Yersinia pestis	WP_002212174.1;YP_002345744.1;
YPO0679		Q7CGI3	Q7CGI3_YERPE	unreviewed	AraC-family regulatory protein	YPO0679	Yersinia pestis	WP_002213786.1;YP_002345745.1;
YPO0681		Q7CGI5	Q7CGI5_YERPE	unreviewed	Putative cystathionine beta-lyase	metC YPO0681	Yersinia pestis	WP_002212172.1;YP_002345747.1;
YPO0682		Q0WIZ0	Q0WIZ0_YERPE	unreviewed	MotA/TolQ/ExbB proton channel family protein	YPO0682	Yersinia pestis	
YPO0683		Q7CGI6	Q7CGI6_YERPE	unreviewed	ExbD/TolR-family transport protein	YPO0683	Yersinia pestis	WP_002212170.1;YP_002345749.1;
YPO0698		Q7CGJ4	Q7CGJ4_YERPE	unreviewed	Outer membrane usher protein	YPO0698	Yersinia pestis	WP_002211458.1;YP_002345762.1;
YPO0699		Q7CGJ5	Q7CGJ5_YERPE	unreviewed	Fimbrial chaperone protein	YPO0699	Yersinia pestis	WP_002211457.1;YP_002345763.1;
YPO0701		Q0WIX3	Q0WIX3_YERPE	unreviewed	Periplasmic binding protein	YPO0701	Yersinia pestis	WP_002429504.1;YP_002345765.1;
YPO0702		Q7CGJ7	Q7CGJ7_YERPE	unreviewed	Putative exported protein	YPO0702	Yersinia pestis	WP_002211454.1;YP_002345766.1;
YPO0706		Q3V8F5	Q3V8F5_YERPE	unreviewed	Flagellar biosynthetic protein FlhB	flhB YPO0706	Yersinia pestis	WP_002211451.1;YP_002345768.1;
YPO0733		Q0WIU4	Q0WIU4_YERPE	unreviewed	Putative flagellar hook-associated protein	flgL YPO0733	Yersinia pestis	WP_002211425.1;YP_002345794.1;
YPO0758		Q0WIS2	Q0WIS2_YERPE	unreviewed	LacI-family regulatory protein	YPO0758	Yersinia pestis	WP_002425658.1;YP_002345816.1;
YPO0783		Q8ZHV1	TYSY_YERPE	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA YPO0783 y3171 YP_2875	Yersinia pestis	WP_002211384.1;YP_002345838.1;
YPO0784		Q8ZHV0	LGT_YERPE	reviewed	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	lgt YPO0784 y3172 YP_2874	Yersinia pestis	WP_002211383.1;YP_002345839.1;
YPO0785		Q7CGZ5	Q7CGZ5_YERPE	unreviewed	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9)	ptsP YPO0785	Yersinia pestis	WP_002228076.1;YP_002345840.1;
YPO0789		Q8ZHU5	MUTH_YERPE	reviewed	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)	mutH YPO0789 y3175 YP_2869	Yersinia pestis	WP_002209838.1;YP_002345844.1;
YPO0790		Q7CGZ3	Q7CGZ3_YERPE	unreviewed	Putative aldo/keto reductase-family protein	tas YPO0790	Yersinia pestis	WP_002209839.1;YP_002345845.1;
YPO0793		Q74RZ6	AAS_YERPE	reviewed	Bifunctional protein Aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]	aas YPO0793 y3181 YP_2864	Yersinia pestis	WP_002209843.1;YP_002345848.1;
YPO0794		Q74RZ7	Q74RZ7_YERPE	unreviewed	Putative biotin sulfoxide reductas2	bisC YPO0794	Yersinia pestis	WP_002209844.1;YP_002345849.1;
YPO0795		Q0WIN8	Q0WIN8_YERPE	unreviewed	Galactose operon repressor	galR YPO0795	Yersinia pestis	WP_002209845.1;YP_002345850.1;
YPO0796		Q7CGZ1	Q7CGZ1_YERPE	unreviewed	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA YPO0796	Yersinia pestis	WP_002209846.1;YP_002345851.1;
YPO0797		Q0WIN6	Q0WIN6_YERPE	unreviewed	Transcriptional activator protein LysR	lysR YPO0797	Yersinia pestis	WP_002214101.1;YP_002345852.1;
YPO0799		Q7CGY9	Q7CGY9_YERPE	unreviewed	LysR-family transcriptional regulatory protein	YPO0799	Yersinia pestis	WP_002209849.1;YP_002345854.1;
YPO0800		Q74S03	Q74S03_YERPE	unreviewed	Putative exported protein	YPO0800	Yersinia pestis	WP_002209850.1;YP_002345855.1;
YPO0801		Q7CGY8	Q7CGY8_YERPE	unreviewed	Uncharacterized protein	YPO0801	Yersinia pestis	WP_002209852.1;YP_002345856.1;
YPO0809		Q7CGY6	Q7CGY6_YERPE	unreviewed	Type II secretion system protein K	YPO0809	Yersinia pestis	WP_002214094.1;YP_002345864.1;
YPO0819		Q7CGY2	Q7CGY2_YERPE	unreviewed	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	YPO0819	Yersinia pestis	WP_002220090.1;YP_002345873.1;
YPO0829		Q7CGX7	Q7CGX7_YERPE	unreviewed	Putative sulfatase	YPO0829	Yersinia pestis	WP_002209873.1;YP_002345881.1;
YPO0831		Q7CGX6	Q7CGX6_YERPE	unreviewed	DeoR-family regulatory protein	YPO0831	Yersinia pestis	WP_002209875.1;YP_002345882.1;
YPO0837		Q0WIK0	Q0WIK0_YERPE	unreviewed	Putative PTS permease protein	YPO0837	Yersinia pestis	YP_002345888.1;
YPO0838		Q7CGX1	Q7CGX1_YERPE	unreviewed	Putative acetylglucosamine-6-phosphate deacetylase	YPO0838	Yersinia pestis	WP_002209882.1;YP_002345889.1;
YPO0848		Q7CGW1	Q7CGW1_YERPE	unreviewed	Putative glucosidase	YPO0848	Yersinia pestis	WP_002228067.1;YP_002345899.1;
YPO0849		Q0WII8	Q0WII8_YERPE	unreviewed	Lactose operon repressor	lacI YPO0849	Yersinia pestis	WP_002209894.1;YP_002345900.1;
YPO0851		Q7CGW0	Q7CGW0_YERPE	unreviewed	PTS transport protein (Partial)	YPO0851	Yersinia pestis	WP_002209896.1;YP_008853944.1;
YPO0852		Q7CGV9	Q7CGV9_YERPE	unreviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23)	bgaB YPO0852	Yersinia pestis	WP_002209897.1;YP_002345903.1;
YPO0853		Q7CGV8	Q7CGV8_YERPE	unreviewed	Arabinogalactan endo-beta-1,4-galactanase (EC 3.2.1.89)	YPO0853	Yersinia pestis	WP_002209898.1;YP_002345904.1;
YPO0856		Q7CGV5	Q7CGV5_YERPE	unreviewed	Maltodextrin-binding protein	YPO0856	Yersinia pestis	YP_002345907.1;
YPO0857		Q0WII0	Q0WII0_YERPE	unreviewed	Sugar transport ATP-binding protein	YPO0857	Yersinia pestis	WP_002209902.1;YP_002345908.1;
YPO0860		Q0WIH7	Q0WIH7_YERPE	unreviewed	Sugar-binding periplasmic protein	YPO0860	Yersinia pestis	WP_002209906.1;YP_002345911.1;
YPO0864		Q7CGV1	Q7CGV1_YERPE	unreviewed	Uncharacterized protein	YPO0864	Yersinia pestis	WP_002209909.1;YP_002345914.1;
YPO0865		Q7CGV0	Q7CGV0_YERPE	unreviewed	Uncharacterized protein	YPO0865	Yersinia pestis	WP_002209910.1;YP_002345915.1;
YPO0870		Q7CGU7	Q7CGU7_YERPE	unreviewed	Uncharacterized protein	YPO0870	Yersinia pestis	WP_002228064.1;YP_002345920.1;
YPO0874		Q7CGU5	Q7CGU5_YERPE	unreviewed	Uncharacterized protein	YPO0874	Yersinia pestis	WP_002209918.1;YP_002345924.1;
YPO0880		Q74QA8	Q74QA8_YERPE	unreviewed	Putative primase	YPO0880	Yersinia pestis	WP_002209923.1;YP_002345930.1;
YPO0887		Q7CGU0	Q7CGU0_YERPE	unreviewed	Integrase	int YPO0887	Yersinia pestis	WP_002209929.1;YP_002345935.1;
YPO0888		Q8ZHK5	SYK_YERPE	reviewed	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS YPO0888 y3272 YP_3584	Yersinia pestis	WP_002209930.1;YP_002345936.1;
ypo0889		Q8ZHK4	RF2_YERPE	reviewed	Peptide chain release factor 2 (RF-2)	prfB YPO0889 y3273 YP_3585	Yersinia pestis	
YPO0890		Q7CGT9	Q7CGT9_YERPE	unreviewed	Single-stranded-DNA-specific exonuclease (EC 3.1.-.-)	recJ YPO0890	Yersinia pestis	WP_002209931.1;YP_002345938.1;
YPO0891		Q7CGT8	Q7CGT8_YERPE	unreviewed	Thiol:disulfide interchange protein	dsbC YPO0891	Yersinia pestis	WP_002209932.1;YP_002345939.1;
YPO0892		Q8ZHK1	XERD_YERPE	reviewed	Tyrosine recombinase XerD	xerD YPO0892 y3276 YP_3588	Yersinia pestis	WP_002209933.1;YP_002345940.1;
YPO0893		Q0WIE7	Q0WIE7_YERPE	unreviewed	Flavodoxin	fldB YPO0893	Yersinia pestis	WP_002209934.1;YP_002345941.1;
YPO0894		Q74Q99	Q74Q99_YERPE	unreviewed	Putative membrane protein	creD YPO0894	Yersinia pestis	WP_002209935.1;YP_002345942.1;
YPO0896		Q7CGT6	Q7CGT6_YERPE	unreviewed	Putative response regulator	blrA YPO0896	Yersinia pestis	WP_002228061.1;YP_002345944.1;
YPO0897		Q8ZHJ5	SDHE_YERPE	reviewed	FAD assembly factor SdhE	sdhE YPO0897 y3282 YP_3594	Yersinia pestis	WP_002209939.1;YP_002345946.1;
YPO0898		Q7CGT3	YGFZ_YERPE	reviewed	tRNA-modifying protein YgfZ	YPO0898 y3283 YP_3595	Yersinia pestis	WP_002209940.1;YP_002345947.1;
YPO0904		Q7CGT1	Q7CGT1_YERPE	unreviewed	Uncharacterized protein	YPO0904	Yersinia pestis	WP_002209946.1;YP_002345952.1;
YPO0905		Q8ZHI8	GCSP_YERPE	reviewed	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	gcvP YPO0905 y3292 YP_3602	Yersinia pestis	WP_002209947.1;YP_002345953.1;
YPO0906		Q8ZHI7	GCSH_YERPE	reviewed	Glycine cleavage system H protein	gcvH gcsH YPO0906 y3293 YP_3603	Yersinia pestis	WP_002209948.1;YP_002345954.1;
YPO0907		Q8ZHI6	GCST_YERPE	reviewed	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	gcvT YPO0907 y3294 YP_3604	Yersinia pestis	WP_002209949.1;YP_002345955.1;
YPO0908		Q0WID2	Q0WID2_YERPE	unreviewed	Putative monooxygenase	visC YPO0908	Yersinia pestis	WP_002209950.1;YP_002345956.1;
YPO0909		Q7CGT0	Q7CGT0_YERPE	unreviewed	2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	ubiH YPO0909	Yersinia pestis	WP_002209951.1;YP_002345957.1;
YPO0910		Q7CGS9	Q7CGS9_YERPE	unreviewed	Proline-specific aminopeptidase (EC 3.4.11.9)	pepP YPO0910	Yersinia pestis	WP_002209952.1;YP_002345958.1;
YPO0911		Q8ZHI2	Y911_YERPE	reviewed	UPF0149 protein YPO0911/y3298/YP_3608	YPO0911 y3298 YP_3608	Yersinia pestis	WP_002209953.1;YP_002345959.1;
YPO0912		Q0WIC8	ZAPA_YERPE	reviewed	Cell division protein ZapA (Z ring-associated protein ZapA)	zapA YPO0912 y3299 YP_3609	Yersinia pestis	WP_002209954.1;YP_002345960.1;
YPO0913		Q7CGS8	Q7CGS8_YERPE	unreviewed	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	YPO0913	Yersinia pestis	WP_002209955.1;YP_002345961.1;
YPO0914		Q0WIC6	Q0WIC6_YERPE	unreviewed	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	serA YPO0914	Yersinia pestis	WP_002209956.1;YP_002345962.1;
YPO0915		Q8ZHH8	RPIA1_YERPE	reviewed	Ribose-5-phosphate isomerase A 1 (EC 5.3.1.6) (Phosphoriboisomerase A 1) (PRI 1)	rpiA1 YPO0915 y3302 YP_3612	Yersinia pestis	WP_002209957.1;YP_002345963.1;
YPO0916		P58510	ARGP_YERPE	reviewed	HTH-type transcriptional regulator ArgP	argP iciA YPO0916 y3303 YP_3613	Yersinia pestis	WP_002209958.1;YP_002345964.1;
YPO0917		Q0WIC3	Q0WIC3_YERPE	unreviewed	Putative exported protein	yggE YPO0917	Yersinia pestis	WP_002209959.1;YP_002345965.1;
YPO0919		Q7CGS6	Q7CGS6_YERPE	unreviewed	Putative membrane protein	YPO0919	Yersinia pestis	WP_002209961.1;YP_002345967.1;
YPO0920		Q7CGS5	Q7CGS5_YERPE	unreviewed	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	fba YPO0920	Yersinia pestis	WP_002209962.1;YP_002345968.1;
YPO0921		Q8ZHH3	PGK_YERPE	reviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk YPO0921 y3308 YP_3519	Yersinia pestis	WP_002209963.1;YP_002345969.1;
YPO0922		Q7CGS4	E4PD_YERPE	reviewed	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	epd YPO0922 y3309 YP_3518	Yersinia pestis	WP_002209964.1;YP_002345970.1;
YPO0926		Q7CGS3	Q7CGS3_YERPE	unreviewed	Transketolase (EC 2.2.1.1)	tkt YPO0926	Yersinia pestis	WP_002209965.1;YP_002345974.1;
YPO0927		Q0WIB3	Q0WIB3_YERPE	unreviewed	Putative lipoprotein	YPO0927	Yersinia pestis	WP_002209967.1;YP_002345975.1;
YPO0929		Q8ZHG8	SPEA_YERPE	reviewed	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	speA YPO0929 y3313 YP_3513	Yersinia pestis	WP_002209969.1;YP_002345977.1;
YPO0931		Q8ZHG7	METK_YERPE	reviewed	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK YPO0931 y3314 YP_3512	Yersinia pestis	WP_002209971.1;YP_002345978.1;
YPO0933		Q7CGS1	Q7CGS1_YERPE	unreviewed	Endonuclease I (EC 3.1.21.1)	endA YPO0933	Yersinia pestis	WP_002209973.1;YP_002345980.1;
YPO0934		Q7CGS0	Q7CGS0_YERPE	unreviewed	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193)	YPO0934	Yersinia pestis	WP_002209975.1;YP_002345981.1;
YPO0935		P58582	GSHB_YERPE	reviewed	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	gshB YPO0935 y3321 YP_3507	Yersinia pestis	WP_002209976.1;YP_002345982.1;
YPO0936		Q8ZHG3	Y936_YERPE	reviewed	UPF0301 protein YPO0936/y3322/YP_3506	YPO0936 y3322 YP_3506	Yersinia pestis	WP_002209977.1;YP_002345983.1;
YPO0937		Q8ZHG2	YQGF_YERPE	reviewed	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	yqgF YPO0937 y3323 YP_3505	Yersinia pestis	WP_002209978.1;YP_002345984.1;
YPO0938		Q7CGR9	Q7CGR9_YERPE	unreviewed	Putative carbon-nitrogen hydrolase	YPO0938	Yersinia pestis	WP_002209979.1;YP_002345985.1;
YPO0939		Q8ZHG0	AGUA_YERPE	reviewed	Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase)	aguA YPO0939 y3325 YP_3503	Yersinia pestis	YP_002345986.1;
YPO0941		Q0WIA0	Q0WIA0_YERPE	unreviewed	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	YPO0941	Yersinia pestis	WP_002215609.1;YP_002345988.1;
YPO0942		Q7CGR8	Q7CGR8_YERPE	unreviewed	Pyrroline-5-carboxylate reductase (p5C reductase) (p5CR) (EC 1.5.1.2) (PCA reductase)	proC YPO0942	Yersinia pestis	WP_002209983.1;YP_002345989.1;
YPO0943		Q7CGR7	Q7CGR7_YERPE	unreviewed	Putative membrane protein	yggT YPO0943	Yersinia pestis	WP_002209984.1;YP_002345990.1;
YPO0944		Q8ZHF5	Y944_YERPE	reviewed	UPF0235 protein YPO0944/y3330/YP_3498	YPO0944 y3330 YP_3498	Yersinia pestis	WP_002215612.1;YP_002345991.1;
YPO0945		Q8ZHF4	IXTPA_YERPE	reviewed	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	YPO0945 y3331 YP_3497	Yersinia pestis	WP_002215614.1;YP_002345992.1;
YPO0946		Q0WI95	Q0WI95_YERPE	unreviewed	Oxygen-independent coproporphyrinogen-III oxidase-like protein (EC 1.3.99.-)	YPO0946	Yersinia pestis	WP_002209987.1;YP_002345993.1;
YPO0947		Q7CGR6	Q7CGR6_YERPE	unreviewed	Putative virulence determinant	YPO0947	Yersinia pestis	WP_002224905.1;YP_002345994.1;
YPO0950		Q7CGR4	Q7CGR4_YERPE	unreviewed	Uncharacterized protein	YPO0950	Yersinia pestis	WP_002209990.1;YP_002345996.1;
YPO0951		Q8ZHE9	TRMB_YERPE	reviewed	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB YPO0951 y3338 YP_3490	Yersinia pestis	WP_002209991.1;YP_002345997.1;
YPO0952		Q0WI90	Q0WI90_YERPE	unreviewed	A/G-specific adenine glycosylase (EC 3.2.2.-)	mutB YPO0952	Yersinia pestis	WP_002228057.1;YP_002345998.1;
YPO0953		Q8ZHE7	FETP_YERPE	reviewed	Probable Fe(2+)-trafficking protein	YPO0953 y3340 YP_3488	Yersinia pestis	WP_002209994.1;YP_002345999.1;
YPO0954		Q8ZHE6	MLTC_YERPE	reviewed	Membrane-bound lytic murein transglycosylase C (EC 4.2.2.n1) (Murein lyase C)	mltC YPO0954 y3341 YP_3487	Yersinia pestis	WP_002209995.1;
YPO0956		Q0WI86	Q0WI86_YERPE	unreviewed	Putative hydroxamate-type ferrisiderophore receptor	YPO0956	Yersinia pestis	WP_002228054.1;YP_002346002.1;
YPO0959		Q7CGR0	Q7CGR0_YERPE	unreviewed	Putative sugar ABC transporter periplasmic binding protein	YPO0959	Yersinia pestis	WP_002210001.1;YP_002346005.1;
YPO0960		Q7CGQ9	Q7CGQ9_YERPE	unreviewed	Ornithine decarboxylase (EC 4.1.1.17)	speC YPO0960	Yersinia pestis	WP_002210002.1;YP_002346006.1;
YPO0984		Q7CGP3	Q7CGP3_YERPE	unreviewed	Acyl-homoserine-lactone synthase (EC 2.3.1.184) (Autoinducer synthesis protein)	yspI YPO0984	Yersinia pestis	WP_002215903.1;YP_002346031.1;
YPO0986		Q7CGP1	Q7CGP1_YERPE	unreviewed	Putative exported protein	YPO0986	Yersinia pestis	WP_002211654.1;YP_002346033.1;
YPO0987		Q7CGP0	Q7CGP0_YERPE	unreviewed	Putative exported protein	YPO0987	Yersinia pestis	WP_002211652.1;YP_002346034.1;
YPO0994		Q7CGN6	Q7CGN6_YERPE	unreviewed	Putative ferric siderophore receptor	iutA YPO0994	Yersinia pestis	WP_002211646.1;YP_002346039.1;
YPO1000		Q7CGN2	Q7CGN2_YERPE	unreviewed	Putative drug efflux protein	YPO1000	Yersinia pestis	WP_002211643.1;YP_002346045.1;
YPO1002		Q7CGN0	Q7CGN0_YERPE	unreviewed	Enterotoxin-like protein	YPO1002	Yersinia pestis	WP_002211641.1;YP_002346047.1;
YPO1004		Q0WI39	Q0WI39_YERPE	unreviewed	Putative autotransporter protein	yapH YPO1004	Yersinia pestis	WP_002211638.1;YP_002346049.1;
YPO1005		Q7CGM8	Q7CGM8_YERPE	unreviewed	Putative antigenic leucine-rich repeat protein	YPO1005	Yersinia pestis	WP_002211637.1;YP_002346050.1;
YPO1009		Q8ZH96	Y1009_YERPE	reviewed	Peptidase T-like protein YPO1009/y3403/YP_3421 (EC 3.4.11.-)	YPO1009 y3403 YP_3421	Yersinia pestis	WP_002211633.1;YP_002346054.1;
YPO1018		Q74RY3	Q74RY3_YERPE	unreviewed	RecBCD enzyme subunit RecC (EC 3.1.11.5) (Exonuclease V subunit RecC) (ExoV subunit RecC) (Helicase/nuclease RecBCD subunit RecC)	recC YPO1018	Yersinia pestis	WP_002211627.1;YP_002346062.1;
YPO1019		Q7CH00	Q7CH00_YERPE	unreviewed	Protease III (EC 3.4.24.55)	ptr YPO1019	Yersinia pestis	WP_002211626.1;YP_002346063.1;
YPO1020		Q0WI24	Q0WI24_YERPE	unreviewed	RecBCD enzyme subunit RecB (EC 3.1.11.5) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB)	recB YPO1020	Yersinia pestis	WP_002215833.1;YP_002346064.1;
YPO1021		Q7CH01	Q7CH01_YERPE	unreviewed	RecBCD enzyme subunit RecD (EC 3.1.11.5) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)	recD YPO1021	Yersinia pestis	WP_002215834.1;YP_002346065.1;
YPO1022		Q8ZH86	ARGA_YERPE	reviewed	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	argA YPO1022 y3162 YP_2828	Yersinia pestis	WP_002211624.1;YP_002346066.1;
YPO1023		Q0WI21	Q0WI21_YERPE	unreviewed	N-acetylmuramoyl-L-alanine amidase AmiC (EC 3.5.1.28)	YPO1023	Yersinia pestis	WP_002211623.1;YP_002346067.1;
YPO1025		Q7CH02	Q7CH02_YERPE	unreviewed	Membrane-bound lytic murein transglycosylase A (EC 4.2.2.n1) (Murein hydrolase A)	YPO1025	Yersinia pestis	WP_002228046.1;YP_002346068.1;
YPO1026		Q7CH03	Q7CH03_YERPE	unreviewed	Uncharacterized protein	YPO1026	Yersinia pestis	WP_002212114.1;YP_002346069.1;
YPO1027		Q7CH04	Q7CH04_YERPE	unreviewed	Uncharacterized protein	YPO1027	Yersinia pestis	WP_002212115.1;YP_002346070.1;
YPO1028		Q0WI17	Q0WI17_YERPE	unreviewed	Putative aminotransferase class V	YPO1028	Yersinia pestis	YP_002346071.1;
YPO1029		Q7CH05	Q7CH05_YERPE	unreviewed	Glycine cleavage system transcriptional activator	gcvA YPO1029	Yersinia pestis	WP_002212117.1;YP_002346072.1;
YPO1031		Q8ZH78	RLMM_YERPE	reviewed	Ribosomal RNA large subunit methyltransferase M (EC 2.1.1.186) (23S rRNA (cytidine2498-2'-O)-methyltransferase) (23S rRNA 2'-O-ribose methyltransferase RlmM)	rlmM YPO1031 y3152 YP_2820	Yersinia pestis	WP_002212119.1;YP_002346074.1;
YPO1033		Q7CH10	Q7CH10_YERPE	unreviewed	Uncharacterized protein	YPO1033	Yersinia pestis	WP_002212121.1;YP_002346076.1;
